policy_id,kpi,mean,std,min,max,cv
H0,total_cost,1858.648,46.343086,1805.9384,1893.0,0.024934
H0,pm_cost,520.833333,2.886751,517.5,522.5,0.005543
H0,unmet_demand,347.666667,20.033306,325.0,363.0,0.057622
H0,demand_fulfillment_rate,0.94726,0.002784,0.945108,0.950404,0.002939
H0,completed_loads,6243.333333,13.316656,6228.0,6252.0,0.002133
H0,average_available_trucks,3.5,0.0,3.5,3.5,0.0
H0,total_downtime,1250.0,6.928203,1242.0,1254.0,0.005543
H0,pm_count,416.666667,2.309401,414.0,418.0,0.005543
H0,average_tire_hi,0.890146,0.001176,0.888788,0.890853,0.001321
H0,average_truck_hi,0.904583,0.000466,0.904068,0.904976,0.000515
H0,queue_time,2.276808,0.006137,2.270788,2.283055,0.002695
H1,total_cost,7062.531333,54.088662,7001.698,7105.198,0.007659
H1,pm_cost,200.666667,6.525591,194.5,207.5,0.03252
H1,unmet_demand,3306.0,33.045423,3268.0,3328.0,0.009996
H1,demand_fulfillment_rate,0.498415,0.002506,0.496749,0.501297,0.005027
H1,completed_loads,3285.0,0.0,3285.0,3285.0,0.0
H1,average_available_trucks,3.5,0.0,3.5,3.5,0.0
H1,total_downtime,481.333333,16.041613,466.0,498.0,0.033327
H1,pm_count,160.666667,5.033223,156.0,166.0,0.031327
H1,average_tire_hi,0.791633,0.009893,0.78452,0.802931,0.012497
H1,average_truck_hi,0.885918,0.001601,0.884529,0.887669,0.001807
H1,queue_time,2.215,0.0,2.215,2.215,0.0
H2,total_cost,3339.374,15.089415,3323.1032,3352.9072,0.004519
H2,pm_cost,402.666667,3.785939,400.0,407.0,0.009402
H2,unmet_demand,1219.333333,8.504901,1213.0,1229.0,0.006975
H2,demand_fulfillment_rate,0.814993,0.002205,0.812452,0.816407,0.002706
H2,completed_loads,5371.666667,41.307788,5324.0,5397.0,0.00769
H2,average_available_trucks,3.5,0.0,3.5,3.5,0.0
H2,total_downtime,966.0,8.717798,960.0,976.0,0.009025
H2,pm_count,322.333333,3.21455,320.0,326.0,0.009973
H2,average_tire_hi,0.858982,0.002155,0.856617,0.860835,0.002509
H2,average_truck_hi,0.880878,0.00061,0.880184,0.881329,0.000692
H2,queue_time,2.324171,0.00513,2.320473,2.330027,0.002207
H3,total_cost,1724.748667,33.626052,1686.3472,1748.92,0.019496
H3,pm_cost,605.833333,11.470978,598.0,619.0,0.018934
H3,unmet_demand,192.666667,17.953644,179.0,213.0,0.093185
H3,demand_fulfillment_rate,0.970774,0.002617,0.967791,0.972684,0.002696
H3,completed_loads,6398.333333,23.544285,6374.0,6421.0,0.00368
H3,average_available_trucks,3.5,0.0,3.5,3.5,0.0
H3,total_downtime,1431.333333,25.006666,1414.0,1460.0,0.017471
H3,pm_count,496.0,10.440307,489.0,508.0,0.021049
H3,average_tire_hi,0.902919,0.002861,0.900934,0.906198,0.003169
H3,average_truck_hi,0.909939,0.00061,0.909235,0.91031,0.00067
H3,queue_time,2.726007,0.003858,2.722267,2.729973,0.001415
H4,total_cost,7062.531333,54.088662,7001.698,7105.198,0.007659
H4,pm_cost,200.666667,6.525591,194.5,207.5,0.03252
H4,unmet_demand,3306.0,33.045423,3268.0,3328.0,0.009996
H4,demand_fulfillment_rate,0.498415,0.002506,0.496749,0.501297,0.005027
H4,completed_loads,3285.0,0.0,3285.0,3285.0,0.0
H4,average_available_trucks,3.5,0.0,3.5,3.5,0.0
H4,total_downtime,481.333333,16.041613,466.0,498.0,0.033327
H4,pm_count,160.666667,5.033223,156.0,166.0,0.031327
H4,average_tire_hi,0.791633,0.009893,0.78452,0.802931,0.012497
H4,average_truck_hi,0.885918,0.001601,0.884529,0.887669,0.001807
H4,queue_time,2.215,0.0,2.215,2.215,0.0
H_PERIODIC,total_cost,4283.058,55.401429,4250.9964,4347.03,0.012935
H_PERIODIC,pm_cost,1095.0,0.0,1095.0,1095.0,0.0
H_PERIODIC,unmet_demand,856.0,27.712813,840.0,888.0,0.032375
H_PERIODIC,demand_fulfillment_rate,0.870132,0.003857,0.865719,0.872862,0.004433
H_PERIODIC,completed_loads,5735.0,28.354894,5713.0,5767.0,0.004944
H_PERIODIC,average_available_trucks,3.5,0.0,3.5,3.5,0.0
H_PERIODIC,total_downtime,2920.0,0.0,2920.0,2920.0,0.0
H_PERIODIC,pm_count,730.0,0.0,730.0,730.0,0.0
H_PERIODIC,average_tire_hi,0.064563,0.000705,0.06398,0.065346,0.010918
H_PERIODIC,average_truck_hi,0.763102,0.000922,0.762219,0.764058,0.001208
H_PERIODIC,queue_time,1.786884,0.0,1.786884,1.786884,0.0
H_TIME,total_cost,1020.281733,42.28656,971.5768,1047.6384,0.041446
H_TIME,pm_cost,325.5,0.0,325.5,325.5,0.0
H_TIME,unmet_demand,121.333333,21.126603,97.0,135.0,0.17412
H_TIME,demand_fulfillment_rate,0.981602,0.003122,0.979586,0.985198,0.003181
H_TIME,completed_loads,6469.666667,11.930353,6456.0,6478.0,0.001844
H_TIME,average_available_trucks,3.5,0.0,3.5,3.5,0.0
H_TIME,total_downtime,868.0,0.0,868.0,868.0,0.0
H_TIME,pm_count,217.0,0.0,217.0,217.0,0.0
H_TIME,average_tire_hi,0.083633,0.004138,0.07887,0.086351,0.049482
H_TIME,average_truck_hi,0.915601,0.000795,0.915072,0.916515,0.000868
H_TIME,queue_time,2.546726,0.002693,2.543747,2.548986,0.001057
