policy_id,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,total_cost,total_cost_report_value,pm_cost,avg_queue_time,availability_rate
H_PERIODIC,1,365,6607,5767,840,0.872862,4251.1476,4251147.6,1095.0,1.786884,0.630608
H_TIME,1,365,6607,6475,132,0.980021,1041.63,1041630.0,325.5,2.543747,0.897303
H0,1,365,6607,6252,355,0.946269,1877.0056,1877005.6,522.5,2.276582,0.819777
H1,1,365,6607,3285,3322,0.4972,7080.698,7080698.0,194.5,2.215,0.966182
H2,1,365,6607,5394,1213,0.816407,3323.1032,3323103.2,401.0,2.330027,0.888527
H3,1,365,6607,6421,186,0.971848,1738.9788,1738978.8,619.0,2.729973,0.917808
H4,1,365,6607,3285,3322,0.4972,7080.698,7080698.0,194.5,2.215,0.966182
H_PERIODIC,2,365,6553,5713,840,0.871814,4250.9964,4250996.4,1095.0,1.786884,0.630608
H_TIME,2,365,6553,6456,97,0.985198,971.5768,971576.8,325.5,2.548986,0.893536
H0,2,365,6553,6228,325,0.950404,1805.9384,1805938.4,517.5,2.270788,0.822688
H1,2,365,6553,3285,3268,0.501297,7001.698,7001698.0,207.5,2.215,0.963955
H2,2,365,6553,5324,1229,0.812452,3352.9072,3352907.2,400.0,2.322014,0.888142
H3,2,365,6553,6374,179,0.972684,1686.3472,1686347.2,600.5,2.722267,0.92042
H4,2,365,6553,3285,3268,0.501297,7001.698,7001698.0,207.5,2.215,0.963955
H_PERIODIC,3,365,6613,5725,888,0.865719,4347.03,4347030.0,1095.0,1.786884,0.630608
H_TIME,3,365,6613,6478,135,0.979586,1047.6384,1047638.4,325.5,2.547445,0.891652
H0,3,365,6613,6250,363,0.945108,1893.0,1893000.0,522.5,2.283055,0.819991
H1,3,365,6613,3285,3328,0.496749,7105.198,7105198.0,200.0,2.215,0.965368
H2,3,365,6613,5397,1216,0.81612,3342.1116,3342111.6,407.0,2.320473,0.888356
H3,3,365,6613,6400,213,0.967791,1748.92,1748920.0,598.0,2.725781,0.922646
H4,3,365,6613,3285,3328,0.496749,7105.198,7105198.0,200.0,2.215,0.965368
