policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,cm_count,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,availability_rate,route_a_loads,route_b_loads,route_c_loads
H0,heterogeneous_condition,101,365,76650,76650,0,1.0,22294.848529,22294848.529,8582.5,0.0,13060.8,651.548529,0.0,3129,0,0,10884,0.719566,0.761394,0.743451,0.787002,0.96458,28470,25550,22630
H0,heterogeneous_condition,102,365,76650,76650,0,1.0,22263.756932,22263756.932,8730.0,19.2,12854.4,660.156932,0.0,3198,2,2,10712,0.708259,0.724324,0.733661,0.776387,0.965699,28471,25549,22630
H0,heterogeneous_condition,103,365,76650,76650,0,1.0,28439.327297,28439327.297,11046.0,0.0,16580.4,812.927297,0.0,3862,0,0,13817,0.693632,0.705121,0.75089,0.747059,0.954543,28470,25550,22630
H0,heterogeneous_condition,104,365,76650,76650,0,1.0,24287.56861,24287568.61,9357.0,19.2,14194.8,716.56861,0.0,3469,2,2,11829,0.708821,0.719413,0.776209,0.761303,0.961826,28471,25549,22630
H0,heterogeneous_condition,105,365,76650,76650,0,1.0,25385.81105,25385811.05,9804.0,9.6,14836.8,735.41105,0.0,3522,1,1,12364,0.730083,0.750962,0.767216,0.755507,0.959626,28470,25550,22630
H0,heterogeneous_condition,106,365,76650,76650,0,1.0,23491.912428,23491912.428,9068.0,0.0,13761.6,662.312428,0.0,3102,0,0,11468,0.705004,0.734074,0.770799,0.743378,0.96179,28470,25550,22630
H0,heterogeneous_condition,107,365,76650,76650,0,1.0,24924.700549,24924700.549,9652.0,0.0,14534.4,738.300549,0.0,3587,0,0,12112,0.702491,0.726323,0.781899,0.741162,0.961064,28470,25550,22630
H0,heterogeneous_condition,108,365,76650,76650,0,1.0,30061.690868,30061690.868,11511.0,9.6,17682.0,859.090868,0.0,4089,1,1,14735,0.71091,0.74509,0.748876,0.773533,0.951384,28470,25550,22630
H0,heterogeneous_condition,109,365,76650,76650,0,1.0,21990.871699,21990871.699,8528.0,0.0,12807.6,655.271699,0.0,3189,0,0,10673,0.718179,0.752591,0.754527,0.787025,0.965822,28470,25550,22630
H0,heterogeneous_condition,110,365,76650,76650,0,1.0,30784.792551,30784792.551,11949.5,9.6,17943.6,882.092551,0.0,4208,1,1,14953,0.702902,0.717202,0.757266,0.756141,0.950932,28470,25550,22630
H0,heterogeneous_condition,111,365,76650,76650,0,1.0,19497.221401,19497221.401,7483.0,0.0,11454.0,560.221401,0.0,2650,0,0,9545,0.72117,0.745455,0.777856,0.779219,0.968511,28470,25550,22630
H0,heterogeneous_condition,112,365,76650,76650,0,1.0,23307.375051,23307375.051,8903.0,9.6,13724.4,670.375051,0.0,3187,1,1,11437,0.720905,0.743048,0.776883,0.763613,0.962329,28471,25549,22630
H0,heterogeneous_condition,113,365,76650,76650,0,1.0,24969.472029,24969472.029,9591.0,0.0,14668.8,709.672029,0.0,3351,0,0,12224,0.699561,0.718581,0.768006,0.779372,0.959475,28470,25550,22630
H0,heterogeneous_condition,114,365,76650,76650,0,1.0,21959.133493,21959133.493,8417.0,0.0,12900.0,642.133493,0.0,3084,0,0,10750,0.71403,0.749327,0.753766,0.793639,0.964986,28470,25550,22630
H0,heterogeneous_condition,115,365,76650,76650,0,1.0,22173.510167,22173510.167,8463.0,0.0,13074.0,636.510167,0.0,3017,0,0,10895,0.713061,0.74626,0.775592,0.760317,0.964018,28470,25550,22630
H0,heterogeneous_condition,116,365,76650,76650,0,1.0,23246.732073,23246732.073,8925.5,9.6,13644.0,667.632073,0.0,3172,1,1,11370,0.715386,0.745935,0.782299,0.756851,0.962571,28470,25550,22630
H0,heterogeneous_condition,117,365,76650,76650,0,1.0,22583.077678,22583077.678,8666.5,0.0,13268.4,648.177678,0.0,3076,0,0,11057,0.732222,0.761298,0.769083,0.770963,0.963548,28470,25550,22630
H0,heterogeneous_condition,118,365,76650,76650,0,1.0,23249.554187,23249554.187,8976.0,9.6,13576.8,687.154187,0.0,3329,1,1,11314,0.711527,0.73614,0.749224,0.794639,0.963539,28470,25550,22630
H0,heterogeneous_condition,119,365,76650,76650,0,1.0,24800.649902,24800649.902,9471.0,0.0,14634.0,695.649902,0.0,3253,0,0,12195,0.724579,0.754159,0.757636,0.769694,0.959164,28470,25550,22630
H0,heterogeneous_condition,120,365,76650,76650,0,1.0,22989.285836,22989285.836,8846.0,9.6,13472.4,661.285836,0.0,3144,1,1,11227,0.719339,0.756704,0.765244,0.772365,0.963087,28471,25549,22630
H0,heterogeneous_condition,121,365,76650,76650,0,1.0,25108.203505,25108203.505,9698.0,9.6,14668.8,731.803505,0.0,3520,1,1,12224,0.724618,0.748614,0.763618,0.773431,0.960256,28470,25550,22630
H0,heterogeneous_condition,122,365,76650,76650,0,1.0,22131.717727,22131717.727,8535.0,9.6,12942.0,645.117727,0.0,3090,1,1,10785,0.719067,0.744978,0.760029,0.764632,0.964858,28470,25550,22630
H0,heterogeneous_condition,123,365,76650,76650,0,1.0,24622.410284,24622410.284,9468.5,0.0,14455.2,698.710284,0.0,3293,0,0,12046,0.715522,0.739069,0.743822,0.778327,0.960032,28470,25550,22630
H0,heterogeneous_condition,124,365,76650,76650,0,1.0,25199.925227,25199925.227,9693.0,0.0,14770.8,736.125227,0.0,3543,0,0,12309,0.694621,0.700814,0.761627,0.793136,0.959963,28470,25550,22630
H0,heterogeneous_condition,125,365,76650,76650,0,1.0,21920.924215,21920924.215,8453.5,0.0,12836.4,631.024215,0.0,3001,0,0,10697,0.734298,0.777578,0.758566,0.785983,0.964849,28470,25550,22630
H0,heterogeneous_condition,126,365,76650,76650,0,1.0,21108.289666,21108289.666,8077.0,0.0,12421.2,610.089666,0.0,2904,0,0,10351,0.742937,0.755978,0.769633,0.776531,0.965991,28470,25550,22630
H0,heterogeneous_condition,127,365,76650,76650,0,1.0,23821.433866,23821433.866,9205.5,0.0,13939.2,676.733866,0.0,3191,0,0,11616,0.722752,0.750124,0.754755,0.764299,0.96153,28470,25550,22630
H0,heterogeneous_condition,128,365,76650,76650,0,1.0,22947.914772,22947914.772,8759.5,0.0,13522.8,665.614772,0.0,3179,0,0,11269,0.721222,0.750828,0.752539,0.763606,0.963059,28470,25550,22630
H0,heterogeneous_condition,129,365,76650,76650,0,1.0,24654.731013,24654731.013,9506.5,0.0,14426.4,721.831013,0.0,3479,0,0,12022,0.712095,0.739273,0.751786,0.77749,0.960991,28470,25550,22630
H0,heterogeneous_condition,130,365,76650,76650,0,1.0,23766.621236,23766621.236,9208.5,0.0,13856.4,701.721236,0.0,3401,0,0,11547,0.710094,0.734925,0.764127,0.787644,0.962795,28470,25550,22630
H1,heterogeneous_condition,101,365,76650,76650,0,1.0,21892.120676,21892120.676,8511.5,0.0,12728.4,652.220676,0.0,3037,0,0,10607,0.320837,0.347122,0.4208,0.42662,0.965429,32120,27375,17155
H1,heterogeneous_condition,102,365,76650,76650,0,1.0,20032.32085,20032320.85,7770.5,0.0,11668.8,593.02085,0.0,2738,0,0,9724,0.333139,0.362798,0.42448,0.484638,0.9681,32120,27375,17155
