policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_a_loads,route_b_loads,route_c_loads
H0,heterogeneous_condition,101,365,76650,76648,2,0.999974,36713.358559,36713358.559,13549.0,662.4,21849.6,648.358559,4.0,1594,4782,1594,1594,1594,69,69,0,0,69,18208,0.854657,0.880609,0.927449,0.940888,0.937723,2.4518,0.924443,28318,25700,22630
H0,heterogeneous_condition,102,365,76650,76644,6,0.999922,38797.346965,38797346.965,13549.0,1585.2,22996.8,654.346965,12.0,1594,4782,1594,1594,1594,162,155,6,1,162,19164,0.831844,0.864401,0.908601,0.962525,0.873249,2.345799,0.920502,28275,25739,22630
H0,heterogeneous_condition,103,365,76650,76648,2,0.999974,41169.315009,41169315.009,13549.0,2619.6,24192.0,804.715009,4.0,1594,4782,1594,1594,1594,228,136,89,3,228,20160,0.764523,0.839083,0.8616,0.915423,0.992559,2.718937,0.916256,28295,25723,22630
H0,heterogeneous_condition,104,365,76650,76650,0,1.0,37631.122299,37631122.299,13549.0,1052.4,22332.0,697.722299,0.0,1594,4782,1594,1594,1594,103,83,11,9,103,18610,0.815625,0.866561,0.934104,0.907395,0.94391,2.700947,0.922763,28253,25767,22630
H0,heterogeneous_condition,105,365,76650,76645,5,0.999935,40040.619358,40040619.358,13549.0,2109.6,23637.6,734.419358,10.0,1594,4782,1594,1594,1594,204,162,28,14,204,19698,0.752564,0.838351,0.86973,0.896198,1.020715,2.576161,0.918256,28298,25717,22630
H0,heterogeneous_condition,106,365,76650,76649,1,0.999987,36257.867083,36257867.083,13549.0,460.8,21576.0,670.067083,2.0,1594,4782,1594,1594,1594,39,21,18,0,39,17980,0.847421,0.897918,0.912263,0.943951,0.982959,2.36643,0.925347,28255,25764,22630
H0,heterogeneous_condition,107,365,76650,76647,3,0.999961,40622.755429,40622755.429,13549.0,2337.6,24000.0,730.155429,6.0,1594,4782,1594,1594,1594,231,152,7,72,231,20000,0.752016,0.822269,0.893425,0.91639,0.96149,2.78374,0.917,28308,25709,22630
H0,heterogeneous_condition,108,365,76650,76638,12,0.999843,44271.515341,44271515.341,13549.0,3932.4,25916.4,849.715341,24.0,1594,4782,1594,1594,1594,355,170,84,101,355,21597,0.772392,0.895778,0.857352,0.872641,1.128587,3.150683,0.910269,28339,25669,22630
H0,heterogeneous_condition,109,365,76650,76650,0,1.0,35632.237556,35632237.556,13549.0,192.0,21261.6,629.637556,0.0,1594,4782,1594,1594,1594,20,20,0,0,20,17718,0.861736,0.865704,0.941885,0.957559,0.909119,2.084195,0.926457,28233,25787,22630
H0,heterogeneous_condition,110,365,76650,76646,4,0.999948,45621.12775,45621127.75,13549.0,4591.2,26592.0,880.92775,8.0,1594,4782,1594,1594,1594,397,203,152,42,397,22160,0.732769,0.815513,0.828378,0.883812,1.167516,3.047173,0.907886,28303,25713,22630
H0,heterogeneous_condition,111,365,76650,76650,0,1.0,35135.652093,35135652.093,13549.0,0.0,21021.6,565.052093,0.0,1594,4782,1594,1594,1594,0,0,0,0,0,17518,0.923689,0.943786,0.962451,0.962065,0.89138,2.095381,0.927279,28260,25760,22630
H0,heterogeneous_condition,112,365,76650,76642,8,0.999896,38274.123808,38274123.808,13549.0,1334.4,22701.6,673.123808,16.0,1594,4782,1594,1594,1594,134,109,5,20,134,18918,0.829931,0.909178,0.932861,0.915778,0.991605,2.415176,0.921498,28274,25738,22630
H0,heterogeneous_condition,113,365,76650,76650,0,1.0,35909.048624,35909048.624,13549.0,283.2,21386.4,690.448624,0.0,1594,4782,1594,1594,1594,28,16,0,12,28,17822,0.859964,0.916313,0.939761,0.920191,0.969895,2.692642,0.926018,28250,25770,22630
H0,heterogeneous_condition,114,365,76650,76650,0,1.0,35346.331806,35346331.806,13549.0,67.2,21105.6,624.531806,0.0,1594,4782,1594,1594,1594,7,7,0,0,7,17588,0.891325,0.909393,0.958009,0.931651,0.993229,2.252138,0.926991,28234,25786,22630
H0,heterogeneous_condition,115,365,76650,76650,0,1.0,35197.091606,35197091.606,13549.0,0.0,21021.6,626.491606,0.0,1594,4782,1594,1594,1594,0,0,0,0,0,17518,0.931802,0.947606,0.958561,0.956974,0.935916,2.362907,0.927279,28240,25780,22630
H0,heterogeneous_condition,116,365,76650,76648,2,0.999974,36304.589696,36304589.696,13549.0,458.4,21602.4,690.789696,4.0,1594,4782,1594,1594,1594,46,35,1,10,46,18002,0.843667,0.88437,0.929803,0.922902,0.95815,1.862636,0.925279,28232,25786,22630
H0,heterogeneous_condition,117,365,76650,76650,0,1.0,35234.322568,35234322.568,13549.0,9.6,21033.6,642.122568,0.0,1594,4782,1594,1594,1594,1,1,0,0,1,17528,0.89182,0.909088,0.947742,0.946676,0.944106,2.713709,0.927237,28234,25786,22630
H0,heterogeneous_condition,118,365,76650,76649,1,0.999987,36392.505602,36392505.602,13549.0,504.0,21643.2,694.305602,2.0,1594,4782,1594,1594,1594,49,42,7,0,49,18036,0.830833,0.84747,0.941676,0.94086,1.087549,2.686366,0.925137,28253,25766,22630
H0,heterogeneous_condition,119,365,76650,76650,0,1.0,36441.169722,36441169.722,13549.0,512.4,21676.8,702.969722,0.0,1594,4782,1594,1594,1594,48,20,5,23,48,18064,0.849441,0.939862,0.900117,0.906938,0.945655,2.343004,0.925005,28253,25767,22630
H0,heterogeneous_condition,120,365,76650,76649,1,0.999987,36331.231742,36331231.742,13549.0,505.2,21624.0,651.031742,2.0,1594,4782,1594,1594,1594,38,5,28,5,38,18020,0.833599,0.896105,0.918946,0.933644,1.001425,2.434457,0.92516,28225,25794,22630
H0,heterogeneous_condition,121,365,76650,76650,0,1.0,38668.871404,38668871.404,13549.0,1494.0,22900.8,725.071404,0.0,1594,4782,1594,1594,1594,154,141,0,13,154,19084,0.837561,0.87596,0.931229,0.943783,1.021615,3.391484,0.920831,28324,25696,22630
H0,heterogeneous_condition,122,365,76650,76646,4,0.999948,36243.3247,36243324.7,13549.0,458.4,21585.6,642.3247,8.0,1594,4782,1594,1594,1594,43,32,9,2,43,17988,0.846609,0.901542,0.91906,0.948159,0.996644,2.514645,0.925329,28279,25737,22630
H0,heterogeneous_condition,123,365,76650,76648,2,0.999974,36798.287838,36798287.838,13549.0,691.2,21859.2,694.887838,4.0,1594,4782,1594,1594,1594,61,39,22,0,61,18216,0.79539,0.883941,0.883985,0.932763,1.029339,2.838985,0.92437,28248,25770,22630
H0,heterogeneous_condition,124,365,76650,76648,2,0.999974,37141.897234,37141897.234,13549.0,811.2,22044.0,733.697234,4.0,1594,4782,1594,1594,1594,82,68,2,12,82,18370,0.835177,0.877887,0.915522,0.927642,1.036929,2.830429,0.923763,28253,25765,22630
H0,heterogeneous_condition,125,365,76650,76650,0,1.0,36798.633745,36798633.745,13549.0,710.4,21909.6,629.633745,0.0,1594,4782,1594,1594,1594,74,74,0,0,74,18258,0.892772,0.907654,0.949075,0.958146,0.973181,3.454216,0.924237,28299,25721,22630
H0,heterogeneous_condition,126,365,76650,76650,0,1.0,35291.681112,35291681.112,13549.0,46.8,21081.6,614.281112,0.0,1594,4782,1594,1594,1594,4,0,1,3,4,17568,0.893743,0.935159,0.946499,0.95227,0.944488,2.366325,0.927068,28234,25786,22630
H0,heterogeneous_condition,127,365,76650,76650,0,1.0,37024.83245,37024832.45,13549.0,804.0,21991.2,680.63245,0.0,1594,4782,1594,1594,1594,64,17,37,10,64,18326,0.841028,0.902951,0.914268,0.938648,0.942635,2.523655,0.923881,28289,25731,22630
H0,heterogeneous_condition,128,365,76650,76650,0,1.0,36505.504294,36505504.294,13549.0,566.4,21732.0,658.104294,0.0,1594,4782,1594,1594,1594,58,53,1,4,58,18110,0.867818,0.913019,0.927873,0.923773,0.896926,2.281344,0.92484,28313,25707,22630
H0,heterogeneous_condition,129,365,76650,76648,2,0.999974,37472.933255,37472933.255,13549.0,973.2,22228.8,717.933255,4.0,1594,4782,1594,1594,1594,92,65,16,11,92,18524,0.812623,0.857563,0.920042,0.919572,1.00374,2.367916,0.923105,28242,25776,22630
H0,heterogeneous_condition,130,365,76650,76650,0,1.0,37167.39446,37167394.46,13549.0,837.6,22084.8,695.99446,0.0,1594,4782,1594,1594,1594,85,67,0,18,85,18404,0.833861,0.851204,0.925626,0.944165,0.909215,1.866523,0.923621,28213,25807,22630
H_TIME,heterogeneous_condition,101,365,76650,76650,0,1.0,35333.342318,35333342.318,13498.0,105.6,21081.6,648.142318,0.0,1588,4764,1588,1588,1588,11,11,0,0,11,17568,0.900529,0.915137,0.967092,0.957153,0.937723,2.4518,0.927073,28295,25725,22630
