policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,standby_decisions
H0,heterogeneous_condition,101,30,6300,6162,138,0.978095,1732045.0,4203.665961,4203665.961,1122.0,448.8,2268.0,88.865961,276.0,132,396,132,132,132,42,31,9,2,42,1890,0.472078,0.617363,0.689573,0.729363,0.937723,2.4518,0.7045,2136,2107,1945,2850,3312,0.907639,2,0,0
H0,heterogeneous_condition,102,30,6300,6139,161,0.974444,1727005.0,4439.752631,4439752.631,1122.0,532.8,2372.4,90.552631,322.0,132,396,132,132,132,48,30,14,4,48,1977,0.477237,0.649986,0.668046,0.785612,0.873249,2.345799,0.7,2135,2134,1902,2850,3289,0.907639,2,0,0
H0,heterogeneous_condition,103,30,6300,6088,212,0.966349,1713075.0,4838.054157,4838054.157,1122.0,669.6,2522.4,100.054157,424.0,132,396,132,132,132,59,33,20,6,59,2102,0.522801,0.644232,0.659821,0.770568,0.992559,2.718937,0.6935,2125,2111,1881,2850,3238,0.906944,2,0,0
H_TIME,heterogeneous_condition,101,30,6300,6168,132,0.979048,1734530.0,4014.262363,4014262.363,1020.0,481.2,2160.0,89.062363,264.0,120,360,120,120,120,45,34,10,1,45,1800,0.500765,0.672519,0.698969,0.765477,0.937723,2.4518,0.709,2140,2131,1925,2850,3318,0.833333,2,0,0
H_TIME,heterogeneous_condition,102,30,6300,6120,180,0.971429,1721405.0,4320.299909,4320299.909,1020.0,573.6,2276.4,90.299909,360.0,120,360,120,120,120,52,35,15,2,52,1897,0.491127,0.672182,0.697227,0.846407,0.873249,2.345799,0.704,2137,2108,1912,2850,3270,0.833333,2,0,0
H_TIME,heterogeneous_condition,103,30,6300,6104,196,0.968889,1717905.0,4470.339833,4470339.833,1020.0,621.6,2336.4,100.339833,392.0,120,360,120,120,120,56,34,16,6,56,1947,0.446425,0.674378,0.58164,0.733347,0.992559,2.718937,0.701444,2143,2112,1886,2850,3254,0.832639,2,0,0
H1,heterogeneous_condition,101,30,6300,3762,2538,0.597143,973630.0,6040.772196,6040772.196,370.0,0.0,547.2,47.572196,5076.0,135,135,61,42,32,0,0,0,0,0,456,0.497463,0.525365,0.601904,0.58651,0.937723,2.4518,0.782111,242,1002,2520,2819,943,0.223611,2,0,6049
H1,heterogeneous_condition,102,30,6300,3776,2524,0.599365,977410.0,5991.247772,5991247.772,363.5,0.0,532.8,46.947772,5048.0,127,127,55,49,23,0,0,0,0,0,444,0.469376,0.502173,0.588904,0.580799,0.873249,2.345799,0.782333,238,1019,2520,2806,970,0.220833,2,0,6049
H1,heterogeneous_condition,103,30,6300,3510,2790,0.557143,901635.0,6584.630503,6584630.503,381.0,0.0,574.8,48.830503,5580.0,135,135,54,47,34,0,0,0,0,0,479,0.478484,0.530464,0.565841,0.572792,0.992559,2.718937,0.780889,201,789,2520,2758,752,0.238889,2,0,6580
H2,heterogeneous_condition,101,30,6300,2873,3427,0.456032,737450.0,7399.892338,7399892.338,207.5,0.0,302.4,35.992338,6854.0,78,78,41,22,15,0,0,0,0,0,252,0.491927,0.545198,0.591309,0.564768,0.937723,2.4518,0.790333,175,609,2093,2245,628,0.120833,2,0,8082
H2,heterogeneous_condition,102,30,6300,2809,3491,0.445873,722190.0,7420.003813,7420003.813,166.0,0.0,238.8,33.203813,6982.0,60,60,31,21,8,0,0,0,0,0,199,0.472288,0.499551,0.563656,0.594912,0.873249,2.345799,0.792278,172,627,2011,2168,641,0.096528,2,0,8279
H2,heterogeneous_condition,103,30,6300,2216,4084,0.351746,571655.0,8504.346458,8504346.458,124.0,0.0,182.4,29.946458,8168.0,44,44,20,16,8,0,0,0,0,0,152,0.48597,0.516678,0.579282,0.568629,0.992559,2.718937,0.794,154,513,1549,1666,550,0.075,2,0,9565
H3,heterogeneous_condition,101,30,6300,6285,15,0.997619,1769705.0,2472.779727,2472779.727,894.0,62.4,1395.6,90.779727,30.0,293,330,156,98,76,5,2,3,0,5,1163,0.466381,0.51923,0.526751,0.559659,0.937723,2.4518,0.751833,2160,2250,1889,2850,3435,0.5625,2,0,0
H3,heterogeneous_condition,102,30,6300,6289,11,0.998254,1770755.0,2498.078901,2498078.901,934.0,48.0,1401.6,92.478901,22.0,273,334,156,118,60,4,2,2,0,4,1168,0.460104,0.540651,0.507719,0.520573,0.873249,2.345799,0.750389,2160,2250,1895,2850,3439,0.589583,2,0,0
H3,heterogeneous_condition,103,30,6300,6244,56,0.991111,1759135.0,3156.280304,3156280.304,962.0,249.6,1730.4,102.280304,112.0,253,344,144,116,84,22,11,7,4,22,1442,0.427699,0.499372,0.48457,0.519077,0.992559,2.718937,0.735056,2160,2250,1856,2850,3394,0.649306,2,0,0
H4,heterogeneous_condition,101,30,6300,6253,47,0.99254,1736595.0,2796.179232,2796179.232,734.0,354.0,1525.2,88.979232,94.0,177,260,105,91,64,34,26,5,3,34,1271,0.399655,0.450158,0.505562,0.50117,0.937723,2.4518,0.741056,1878,2110,2299,2453,3800,0.50625,2,0,0
H4,heterogeneous_condition,102,30,6300,6194,106,0.983175,1719690.0,3314.715832,3314715.832,630.5,666.0,1716.0,90.215832,212.0,145,218,90,87,41,60,36,17,7,60,1430,0.371835,0.516947,0.497097,0.46136,0.873249,2.345799,0.731667,1864,2079,2287,2444,3750,0.433333,2,0,0
H4,heterogeneous_condition,103,30,6300,6116,184,0.970794,1697605.0,4038.193915,4038193.915,634.5,892.8,2043.6,99.293915,368.0,123,213,69,91,53,83,51,16,16,83,1703,0.371734,0.502846,0.428037,0.433651,0.992559,2.718937,0.716667,1855,2036,2270,2401,3715,0.461111,2,0,0
