policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty
H0,heterogeneous_condition,101,90,18900,18900,0,1.0,5435640.0,9163.306803,9163306.803,3349.0,211.2,5445.6,157.506803,0.0,394,1182,394,394,394,22,22,0,0,22,4538,0.857074,0.887814,0.908946,0.951529,0.937723,2.4518,0.72363,4178,4145,4145,2213,2186,2033,8323,6358,4219,10509,8391,0.908796,2,0,0.652972,0.821473,47.764507,0.319824
H0,heterogeneous_condition,102,90,18900,18900,0,1.0,5433610.0,9618.806105,9618806.105,3349.0,412.8,5697.6,159.406105,0.0,394,1182,394,394,394,43,43,0,0,43,4748,0.82367,0.856644,0.912723,0.95227,0.873249,2.345799,0.72013,4146,4142,4119,2251,2209,2033,8288,6370,4242,10474,8426,0.908796,2,0,0.652901,0.805475,47.841261,0.318345
H0,heterogeneous_condition,103,90,18900,18899,1,0.999947,5433610.0,10136.063606,10136063.606,3349.0,633.6,5956.8,194.663606,2.0,394,1182,394,394,394,59,45,14,0,59,4964,0.805144,0.869247,0.857461,0.951318,0.992559,2.718937,0.716426,4144,4136,4148,2245,2190,2036,8280,6393,4226,10482,8417,0.908796,2,0,0.652911,1.018742,47.810212,0.318961
H0,heterogeneous_condition,104,90,18900,18898,2,0.999894,5434380.0,9288.733081,9288733.081,3349.0,260.4,5508.0,167.333081,4.0,394,1182,394,394,394,27,26,0,1,27,4590,0.833531,0.843167,0.924642,0.940313,0.94391,2.700947,0.722759,4168,4144,4143,2215,2208,2020,8312,6358,4228,10519,8379,0.908796,2,0,0.653089,0.842127,47.769194,0.319687
H0,heterogeneous_condition,105,90,18900,18900,0,1.0,5434870.0,9759.82732,9759827.32,3349.0,475.2,5758.8,176.82732,0.0,394,1182,394,394,394,43,30,13,0,43,4799,0.831131,0.872256,0.914811,0.931722,1.020715,2.576161,0.719167,4147,4154,4133,2247,2190,2029,8301,6380,4219,10470,8430,0.908796,2,0,0.652901,0.90341,47.838938,0.318481
H0,heterogeneous_condition,106,90,18900,18898,2,0.999894,5434660.0,8955.70351,8955703.51,3349.0,115.2,5325.6,161.90351,4.0,394,1182,394,394,394,12,12,0,0,12,4438,0.869419,0.915544,0.894515,0.947598,0.982959,2.36643,0.725296,4159,4158,4138,2218,2191,2034,8317,6356,4225,10488,8410,0.908796,2,0,0.652942,0.74702,47.783184,0.319351
H0,heterogeneous_condition,107,90,18900,18899,1,0.999947,5434030.0,9945.055866,9945055.866,3349.0,548.4,5870.4,175.255866,2.0,394,1182,394,394,394,54,41,4,9,54,4892,0.803706,0.850981,0.911198,0.925312,0.96149,2.78374,0.717667,4154,4146,4139,2226,2203,2031,8300,6365,4234,10496,8403,0.908796,2,0,0.652972,0.924701,47.825146,0.318862
H0,heterogeneous_condition,108,90,18900,18897,3,0.999841,5430215.0,10930.450219,10930450.219,3349.0,972.0,6396.0,207.450219,6.0,394,1182,394,394,394,92,60,14,18,92,5330,0.775449,0.869233,0.871492,0.893517,1.128587,3.150683,0.710259,4105,4128,4141,2263,2216,2044,8233,6404,4260,10462,8435,0.908796,2,0,0.653033,1.000046,47.889884,0.317576
H0,heterogeneous_condition,109,90,18900,18900,0,1.0,5434485.0,8960.353569,8960353.569,3349.0,124.8,5334.0,152.553569,0.0,394,1182,394,394,394,13,13,0,0,13,4445,0.867919,0.878033,0.9489,0.939497,0.909119,2.084195,0.725167,4159,4148,4134,2223,2206,2030,8307,6357,4236,10499,8401,0.908796,2,0,0.653037,0.70722,47.802358,0.319079
H0,heterogeneous_condition,110,90,18900,18897,3,0.999841,5434170.0,10940.120382,10940120.382,3349.0,997.2,6378.0,209.920382,6.0,394,1182,394,394,394,87,51,33,3,87,5315,0.747663,0.794246,0.857606,0.929901,1.167516,3.047173,0.710407,4156,4151,4129,2240,2196,2025,8307,6369,4221,10481,8416,0.908796,2,0,0.652936,1.11411,47.832324,0.318658
H_TIME,heterogeneous_condition,101,90,18900,18900,0,1.0,5434975.0,8629.543999,8629543.999,3298.0,28.8,5145.6,157.143999,0.0,388,1164,388,388,388,3,3,0,0,3,4288,0.900236,0.910353,0.962533,0.962576,0.937723,2.4518,0.727796,4171,4150,4172,2171,2195,2041,8321,6343,4236,10538,8362,0.896296,2,0,0.653158,0.503646,47.728138,0.320488
H_TIME,heterogeneous_condition,102,90,18900,18899,1,0.999947,5432735.0,9022.119998,9022119.998,3298.0,201.6,5361.6,158.919998,2.0,388,1164,388,388,388,21,21,0,0,21,4468,0.727179,0.782506,0.92212,0.948933,0.873249,2.345799,0.724796,4154,4125,4157,2213,2200,2050,8279,6370,4250,10511,8388,0.896296,2,0,0.653072,0.763691,47.826691,0.31892
H_TIME,heterogeneous_condition,103,90,18900,18899,1,0.999947,5433925.0,9684.685195,9684685.195,3298.0,480.0,5709.6,195.085195,2.0,388,1164,388,388,388,50,50,0,0,50,4758,0.691556,0.809611,0.814862,0.91372,0.992559,2.718937,0.719963,4144,4150,4159,2215,2198,2033,8294,6374,4231,10501,8398,0.896296,2,0,0.65297,1.120405,47.785107,0.319307
H_TIME,heterogeneous_condition,104,90,18900,18900,0,1.0,5434765.0,8834.298707,8834298.707,3298.0,115.2,5253.6,167.498707,0.0,388,1164,388,388,388,12,12,0,0,12,4378,0.735236,0.810918,0.928859,0.894606,0.94391,2.700947,0.726296,4161,4159,4160,2179,2210,2031,8320,6339,4241,10531,8369,0.896296,2,0,0.653148,0.976886,47.745876,0.320024
H_TIME,heterogeneous_condition,105,90,18900,18900,0,1.0,5433610.0,9123.397136,9123397.136,3298.0,244.8,5404.8,175.797136,0.0,388,1164,388,388,388,21,12,9,0,21,4504,0.703419,0.837202,0.855409,0.911422,1.020715,2.576161,0.72413,4131,4154,4153,2223,2190,2049,8285,6376,4239,10474,8426,0.896296,2,0,0.652962,0.928894,47.843243,0.318429
H_TIME,heterogeneous_condition,106,90,18900,18900,0,1.0,5434520.0,8590.679998,8590679.998,3298.0,9.6,5121.6,161.479998,0.0,388,1164,388,388,388,1,1,0,0,1,4268,0.91003,0.922824,0.947223,0.966939,0.982959,2.36643,0.72813,4154,4153,4164,2194,2194,2041,8307,6358,4235,10512,8388,0.896296,2,0,0.653071,0.477551,47.775462,0.319618
H_TIME,heterogeneous_condition,107,90,18900,18900,0,1.0,5433505.0,9500.761458,9500761.458,3298.0,414.0,5613.6,175.161458,0.0,388,1164,388,388,388,43,42,0,1,43,4678,0.711841,0.799022,0.865756,0.940056,0.96149,2.78374,0.721278,4145,4139,4156,2219,2203,2038,8284,6375,4241,10504,8396,0.896296,2,0,0.653035,1.107143,47.821253,0.318853
