regime,sensitivity,policy,total_tco_v1,total_tco_v2,effective_output,effective_fulfillment_rate,avg_grade_per_load,failure_count,cm_count,downtime_hours,pm_visits,shovel_a_share,shovel_b_share,shovel_c_share,crusher1_share,crusher2_share,is_pareto_efficient_v1_output,is_pareto_efficient_v2_failure_output,rank_tco_v1,rank_tco_v2,rank_effective_output,rank_failure_downtime,route_r_a1_share,route_r_a2_share,route_r_b1_share,route_r_b2_share,route_r_c1_share,route_r_c2_share,classification_base_note
heterogeneous_condition,low,H0,9769.842046,9769.842046,5433967.0,1.026827,0.821514,45.2,45.2,4805.9,394.0,0.439012,0.337111,0.223877,0.554956,0.445044,1,1,10,10,1,10,0.219675,0.219337,0.218897,0.118214,0.116383,0.107494,non_dominated_v2_failure_output
heterogeneous_condition,low,H_TIME,9262.936386,9262.936386,5433662.5,1.026769,0.821428,29.8,29.8,4570.6,388.0,0.438822,0.33664,0.224538,0.555945,0.444055,1,1,9,9,2,9,0.219321,0.219501,0.219935,0.116706,0.11669,0.107848,non_dominated_v2_failure_output
heterogeneous_condition,low,H1,4086.761103,5749.486552,4826381.0,0.912015,0.729612,0.0,0.0,1977.4,567.7,0.000878,0.29436,0.704762,0.503111,0.496889,0,0,5,7,9,4,0.000878,0.0,0.187947,0.106413,0.314286,0.390476,dominated_v2_failure_output
heterogeneous_condition,low,H2,4071.978243,5726.154718,4828775.0,0.912467,0.729974,0.0,0.0,1970.7,564.1,0.002249,0.295238,0.702513,0.611772,0.388228,0,0,2,4,6,1,0.002249,0.0,0.295238,0.0,0.314286,0.388228,dominated_v2_failure_output
heterogeneous_condition,low,H3,5333.895632,5693.852432,5191200.0,0.980952,0.784762,0.0,0.0,2583.1,736.6,0.27619,0.295238,0.428571,0.885714,0.114286,1,0,7,2,4,6,0.27619,0.0,0.295238,0.0,0.314286,0.114286,dominated_v2_failure_output
heterogeneous_condition,low,H4,5504.791479,5639.775279,5254200.0,0.992857,0.794286,0.0,0.0,2659.5,757.9,0.3,0.342857,0.357143,0.4,0.6,1,1,8,1,3,7,0.128571,0.171429,0.128571,0.214286,0.142857,0.214286,non_dominated_v2_failure_output
heterogeneous_condition,low,H1_original,4086.761103,5749.486552,4826381.0,0.912015,0.729612,0.0,0.0,1977.4,567.7,0.000878,0.29436,0.704762,0.503111,0.496889,0,0,6,8,10,5,0.000878,0.0,0.187947,0.106413,0.314286,0.390476,dominated_v2_failure_output
heterogeneous_condition,low,H1_value_guard,4080.896911,5737.098143,4828208.0,0.91236,0.729888,0.0,0.0,1976.8,566.0,0.00182,0.295238,0.702942,0.611344,0.388656,0,0,4,6,8,3,0.00182,0.0,0.295238,0.0,0.314286,0.388656,dominated_v2_failure_output
heterogeneous_condition,low,H2_original,4071.978243,5726.154718,4828775.0,0.912467,0.729974,0.0,0.0,1970.7,564.1,0.002249,0.295238,0.702513,0.611772,0.388228,0,0,3,5,7,2,0.002249,0.0,0.295238,0.0,0.314286,0.388228,dominated_v2_failure_output
heterogeneous_condition,low,H2_value_guard,4068.84748,5718.324518,4830091.0,0.912716,0.730173,0.1,0.1,1968.4,563.6,0.003243,0.295238,0.701519,0.612767,0.387233,1,0,1,3,5,8,0.003243,0.0,0.295238,0.0,0.314286,0.387233,dominated_v2_failure_output
heterogeneous_condition,base,H0,9769.842046,9769.842046,5433967.0,1.026827,0.821514,45.2,45.2,4805.9,394.0,0.439012,0.337111,0.223877,0.554956,0.445044,1,1,10,10,1,10,0.219675,0.219337,0.218897,0.118214,0.116383,0.107494,non_dominated_v2_failure_output
heterogeneous_condition,base,H_TIME,9262.936386,9262.936386,5433662.5,1.026769,0.821428,29.8,29.8,4570.6,388.0,0.438822,0.33664,0.224538,0.555945,0.444055,1,1,9,9,2,9,0.219321,0.219501,0.219935,0.116706,0.11669,0.107848,non_dominated_v2_failure_output
heterogeneous_condition,base,H1,4086.761103,7412.67762,4826381.0,0.912015,0.729612,0.0,0.0,1977.4,567.7,0.000878,0.29436,0.704762,0.503111,0.496889,0,0,5,7,9,4,0.000878,0.0,0.187947,0.106413,0.314286,0.390476,dominated_v2_failure_output
heterogeneous_condition,base,H2,4071.978243,7380.794418,4828775.0,0.912467,0.729974,0.0,0.0,1970.7,564.1,0.002249,0.295238,0.702513,0.611772,0.388228,0,0,2,4,6,1,0.002249,0.0,0.295238,0.0,0.314286,0.388228,dominated_v2_failure_output
