regime,policy_id,total_tco_v2,total_tco_v3,effective_output,effective_fulfillment_rate,avg_grade_per_load,failure_count,cm_count,total_downtime_hours,congestion_delay_hours_total,congestion_cost,avg_realized_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,route_fallback_loads,r_c_share,crusher_1_share,crusher_2_share
heterogeneous_condition,H0,3152.379308,3152.633804,1811600.0,1.026984,0.821631,11.0,11.0,1552.0,0.508993,0.254496,0.41523,8.749537,0.183492,0.220276,0.0,0.223345,0.555056,0.444944
heterogeneous_condition,H1,1863.43549,1939.542479,1609241.666667,0.912268,0.729815,0.0,0.0,352.333333,152.213978,76.106989,0.325982,8.75,0.301095,0.390476,3971.666667,0.704762,0.521481,0.478519
heterogeneous_condition,H1_original,1863.43549,1939.542479,1609241.666667,0.912268,0.729815,0.0,0.0,352.333333,152.213978,76.106989,0.325982,8.75,0.301095,0.390476,3971.666667,0.704762,0.521481,0.478519
heterogeneous_condition,H1_value_guard,1846.777445,1942.631694,1611190.0,0.913373,0.730698,0.0,0.0,351.0,191.708499,95.85425,0.327164,8.75,0.333896,0.384603,4320.0,0.698889,0.615397,0.384603
heterogeneous_condition,H2,1824.785858,1920.640108,1611656.666667,0.913638,0.73091,0.0,0.0,340.333333,191.708499,95.85425,0.327357,8.75,0.333097,0.383545,4320.0,0.697831,0.616455,0.383545
heterogeneous_condition,H2_original,1824.785858,1920.640108,1611656.666667,0.913638,0.73091,0.0,0.0,340.333333,191.708499,95.85425,0.327357,8.75,0.333097,0.383545,4320.0,0.697831,0.616455,0.383545
heterogeneous_condition,H2_value_guard,1841.359545,1937.213795,1613033.333333,0.914418,0.731535,0.0,0.0,353.666667,191.708499,95.85425,0.327926,8.75,0.330765,0.380423,4320.0,0.694709,0.619577,0.380423
heterogeneous_condition,H3,1664.864599,1760.718849,1730400.0,0.980952,0.784762,0.0,0.0,680.666667,191.708499,95.85425,0.376429,8.75,0.275283,0.314286,4320.0,0.428571,0.885714,0.114286
heterogeneous_condition,H4,1609.524117,1609.524117,1751400.0,0.992857,0.794286,0.0,0.0,725.666667,0.0,0.0,0.390521,8.75,0.174694,0.214286,0.0,0.357143,0.4,0.6
heterogeneous_condition,H_TIME,2903.859926,2904.111668,1811343.333333,1.026839,0.821471,5.666667,5.666667,1434.666667,0.503482,0.251741,0.414954,8.75,0.183642,0.22037,0.0,0.224392,0.556349,0.443651
