regime,policy,total_tco_v2,total_tco_v3_hard,total_tco_v4_soft_congestion,congestion_delay_hours_hard,congestion_delay_hours_soft,congestion_cost_hard,congestion_cost_soft,route_hhi,max_route_share,max_route_utilization,max_shovel_utilization,max_crusher_utilization,effective_fulfillment_rate,effective_output,failure_count,cm_count,downtime_hours,pm_visits,rank_tco_v3_hard,rank_tco_v4_soft
heterogeneous_condition,BALANCED_RR_H4_PM,5568.40773,5568.457803,5570.925434,0.100146,5.035408,0.050073,2.517704,0.166681,0.168942,0.705173,1.104167,1.231579,1.000195,5293032.5,0.0,0.0,2691.7,766.5,1,1
heterogeneous_condition,H0,9769.842046,9770.598976,9783.598092,1.513859,27.512091,0.75693,13.756046,0.183359,0.219924,0.813793,1.308334,1.247368,1.026827,5433967.0,45.2,45.2,4805.9,394.0,11,11
heterogeneous_condition,H1,7412.67762,7669.154659,9136.486088,512.954079,3447.616936,256.477039,1723.808468,0.298041,0.390476,3.181818,2.5,2.210526,0.912015,4826381.0,0.0,0.0,1977.4,567.7,7,4
heterogeneous_condition,H1_original,7412.67762,7669.154659,9136.486088,512.954079,3447.616936,256.477039,1723.808468,0.298041,0.390476,3.181818,2.5,2.210526,0.912015,4826381.0,0.0,0.0,1977.4,567.7,8,5
heterogeneous_condition,H1_value_guard,7393.763167,7681.325915,9312.934309,575.125497,3838.342285,287.562749,1919.171143,0.336998,0.388656,3.181818,2.5,2.210526,0.91236,4828208.0,0.0,0.0,1976.8,566.0,9,10
heterogeneous_condition,H2,7380.794418,7668.357166,9299.96556,575.125497,3838.342285,287.562749,1919.171143,0.336667,0.388228,3.181818,2.5,2.210526,0.912467,4828775.0,0.0,0.0,1970.7,564.1,5,8
heterogeneous_condition,H2_original,7380.794418,7668.357166,9299.96556,575.125497,3838.342285,287.562749,1919.171143,0.336667,0.388228,3.181818,2.5,2.210526,0.912467,4828775.0,0.0,0.0,1970.7,564.1,6,9
heterogeneous_condition,H2_value_guard,7368.263466,7655.833385,9287.479371,575.139836,3838.431809,287.569918,1919.215905,0.335901,0.387233,3.183333,2.50119,2.211579,0.912716,4830091.0,0.1,0.1,1968.4,563.6,4,7
heterogeneous_condition,H3,6053.910032,6341.472781,7973.081175,575.125497,3838.342285,287.562749,1919.171143,0.275283,0.314286,3.181818,2.5,2.210526,0.980952,5191200.0,0.0,0.0,2583.1,736.6,3,3
heterogeneous_condition,H4,5774.796879,5774.796879,5774.972139,0.0,0.35052,0.0,0.17526,0.174694,0.214286,0.6,0.96,0.9,0.992857,5254200.0,0.0,0.0,2659.5,757.9,2,2
heterogeneous_condition,H_TIME,9262.936386,9263.690953,9276.675252,1.509133,27.477731,0.754566,13.738865,0.183525,0.220168,0.812069,1.305556,1.251579,1.026769,5433662.5,29.8,29.8,4570.6,388.0,10,6
high_demand_high_stress,BALANCED_RR_H4_PM,8892.899981,8893.509274,8905.033721,1.218585,24.267478,0.609293,12.133739,0.166674,0.168161,0.775862,1.197222,1.381052,0.999999,6073193.0,20.4,20.4,4242.3,771.0,1,1
high_demand_high_stress,H0,11850.95223,11852.748416,11877.117622,3.592372,52.330785,1.796186,26.165392,0.172622,0.187547,0.810345,1.277778,1.421053,1.011467,6142843.0,111.6,111.6,5585.5,360.0,11,4
high_demand_high_stress,H1,10621.348592,11121.414015,13851.232464,1000.130846,6459.767745,500.065423,3229.883873,0.267183,0.340249,3.65303,2.872619,2.537895,0.923302,5607395.5,0.7,0.7,3522.3,874.0,4,6
high_demand_high_stress,H1_original,10621.348592,11121.414015,13851.232464,1000.130846,6459.767745,500.065423,3229.883873,0.267183,0.340249,3.65303,2.872619,2.537895,0.923302,5607395.5,0.7,0.7,3522.3,874.0,5,7
high_demand_high_stress,H1_value_guard,10598.220701,11133.971316,14045.915705,1071.50123,6895.390009,535.750615,3447.695004,0.273159,0.340249,3.65303,2.870238,2.537895,0.923403,5608008.0,0.1,0.1,3514.1,876.4,9,11
high_demand_high_stress,H2,10590.242722,11126.047368,14038.259106,1071.609291,6896.032767,535.804645,3448.016384,0.273134,0.340249,3.656061,2.872619,2.54,0.923415,5608085.0,0.7,0.7,3509.2,872.0,7,9
high_demand_high_stress,H2_original,10590.242722,11126.047368,14038.259106,1071.609291,6896.032767,535.804645,3448.016384,0.273134,0.340249,3.656061,2.872619,2.54,0.923415,5608085.0,0.7,0.7,3509.2,872.0,8,10
high_demand_high_stress,H2_value_guard,10587.215909,11123.079848,14035.589986,1071.727879,6896.748154,535.86394,3448.374077,0.272422,0.339419,3.659091,2.875,2.542105,0.923699,5609807.0,1.4,1.4,3513.1,868.9,6,8
high_demand_high_stress,H3,9678.526129,10214.695905,13128.721945,1072.339552,6900.391632,536.169776,3450.195816,0.251184,0.273859,3.660606,2.876191,2.543158,0.967324,5874750.0,5.8,5.8,3974.2,852.7,3,5
high_demand_high_stress,H4,9065.480077,9065.491786,9069.153105,0.023417,7.346056,0.011709,3.673028,0.17349,0.228055,0.670732,1.064087,1.048421,0.993804,6035568.0,17.6,17.6,4201.7,787.2,2,2
high_demand_high_stress,H_TIME,11499.187321,11500.982804,11525.328204,3.590967,52.281765,1.795483,26.140883,0.172573,0.187377,0.812069,1.273611,1.421053,1.011407,6142479.0,105.4,105.4,5419.1,356.0,10,3
high_stress,BALANCED_RR_H4_PM,7764.809138,7764.861938,7767.351711,0.1056,5.085145,0.0528,2.542572,0.166681,0.168572,0.725862,1.105555,1.232632,0.999753,5290691.0,0.4,0.4,3736.7,863.5,1,1
high_stress,H0,11011.109586,11011.875769,11024.970862,1.532365,27.722551,0.766183,13.861275,0.183247,0.21966,0.817241,1.309722,1.253685,1.026685,5433218.0,82.2,82.2,5226.6,360.0,11,5
high_stress,H1,9441.793238,9707.029885,11221.048096,530.473294,3558.509715,265.236647,1779.254858,0.297675,0.390476,3.181818,2.5,2.210526,0.912002,4826314.5,0.0,0.0,2955.1,752.5,7,6
high_stress,H1_original,9441.793238,9707.029885,11221.048096,530.473294,3558.509715,265.236647,1779.254858,0.297675,0.390476,3.181818,2.5,2.210526,0.912002,4826314.5,0.0,0.0,2955.1,752.5,8,7
high_stress,H1_value_guard,9452.87958,9740.442328,11372.050722,575.125497,3838.342285,287.562749,1919.171143,0.337671,0.389524,3.181818,2.5,2.210526,0.912143,4827060.0,0.0,0.0,2963.4,754.3,9,11
high_stress,H2,9419.311332,9706.874081,11338.482475,575.125497,3838.342285,287.562749,1919.171143,0.337482,0.38928,3.181818,2.5,2.210526,0.912204,4827382.0,0.0,0.0,2947.5,749.7,5,9
high_stress,H2_original,9419.311332,9706.874081,11338.482475,575.125497,3838.342285,287.562749,1919.171143,0.337482,0.38928,3.181818,2.5,2.210526,0.912204,4827382.0,0.0,0.0,2947.5,749.7,6,10
high_stress,H2_value_guard,9411.815921,9699.383334,11331.014754,575.134825,3838.397666,287.567413,1919.198834,0.336389,0.387868,3.183333,2.50119,2.211579,0.912557,4829251.0,0.1,0.1,2950.6,750.9,4,8
high_stress,H3,8187.504586,8475.067335,10106.675729,575.125497,3838.342285,287.562749,1919.171143,0.275283,0.314286,3.181818,2.5,2.210526,0.980952,5191200.0,0.0,0.0,3607.5,873.0,3,3
high_stress,H4,7964.170124,7964.170124,7964.345458,0.0,0.350668,0.0,0.175334,0.174692,0.214281,0.6,0.96,0.9,0.992854,5254182.5,0.4,0.4,3709.3,867.5,2,2
high_stress,H_TIME,10582.901833,10583.671268,10596.821914,1.53887,27.840162,0.769435,13.920081,0.183359,0.219845,0.817241,1.308334,1.258948,1.026644,5433001.0,71.4,71.4,5033.6,356.0,10,4
