policy_id,regime,seed,day,completed_loads,unmet_loads,route_fallback_loads,route_rejected_loads,route_queue_hours,shovel_queue_hours,crusher_queue_hours,congestion_delay_hours_total,congestion_cost,avg_realized_cycle_time_min,avg_realized_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_loads,shovel_b_loads,shovel_c_loads,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_loads,crusher_2_loads,crusher_1_attempts,crusher_2_attempts
H0,heterogeneous_condition,101,1,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86707,0.414451,8.75,0.184263,0.22381,45,47,47,23,25,23,45,47,47,23,25,23,92,70,48,92,70,48,117,93,117,93
H0,heterogeneous_condition,101,2,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.908437,0.415141,8.75,0.184263,0.22381,47,45,47,25,23,23,47,45,47,25,23,23,92,72,46,92,72,46,117,93,117,93
H0,heterogeneous_condition,101,3,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,25.025154,0.417086,8.75,0.184308,0.22381,47,47,45,25,24,22,47,47,45,25,24,22,94,70,46,94,70,46,116,94,116,94
H0,heterogeneous_condition,101,4,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86707,0.414451,8.75,0.184263,0.22381,45,47,47,23,25,23,45,47,47,23,25,23,92,70,48,92,70,48,117,93,117,93
H0,heterogeneous_condition,101,5,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.908437,0.415141,8.75,0.184263,0.22381,47,45,47,25,23,23,47,45,47,25,23,23,92,72,46,92,72,46,117,93,117,93
H0,heterogeneous_condition,101,6,210,0,0,0,0.0,0.012201,0.0053,0.017501,0.008751,25.04353,0.417392,8.75,0.183447,0.22381,47,47,44,26,24,22,47,47,44,26,24,22,94,70,46,94,70,46,115,95,115,95
H0,heterogeneous_condition,101,7,210,0,0,0,0.0,0.010645,0.007985,0.01863,0.009315,24.843114,0.414052,8.75,0.184218,0.22381,46,46,47,23,25,23,46,47,47,23,25,23,92,70,48,93,70,48,118,92,118,93
H0,heterogeneous_condition,101,8,210,0,0,0,0.0,0.007941,0.007985,0.015926,0.007963,24.815508,0.413592,8.75,0.183311,0.22381,47,44,47,25,24,23,47,44,47,25,24,23,91,72,47,91,72,47,118,92,118,92
H0,heterogeneous_condition,101,9,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,24.998439,0.416641,8.75,0.183401,0.22381,47,47,44,25,25,22,47,47,44,25,25,22,94,69,47,94,69,47,116,94,116,94
H0,heterogeneous_condition,101,10,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86707,0.414451,8.75,0.184263,0.22381,45,47,47,23,25,23,45,47,47,23,25,23,92,70,48,92,70,48,117,93,117,93
H0,heterogeneous_condition,101,11,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.908437,0.415141,8.75,0.184263,0.22381,47,45,47,25,23,23,47,45,47,25,23,23,92,72,46,92,72,46,117,93,117,93
H0,heterogeneous_condition,101,12,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,25.027632,0.417127,8.75,0.183583,0.22381,47,47,44,26,25,21,47,47,44,26,25,21,94,70,46,94,70,46,116,94,116,94
H0,heterogeneous_condition,101,13,210,0,0,0,0.0,0.010645,0.007985,0.01863,0.009315,24.890632,0.414844,8.75,0.185306,0.22381,46,47,47,22,25,23,46,47,47,22,25,23,93,69,48,93,69,48,118,92,118,92
H0,heterogeneous_condition,101,14,210,0,0,0,0.0,0.007941,0.007985,0.015926,0.007963,24.815508,0.413592,8.75,0.183311,0.22381,47,44,47,25,24,23,47,44,47,25,24,23,91,72,47,91,72,47,118,92,118,92
H0,heterogeneous_condition,101,15,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,25.025154,0.417086,8.75,0.184308,0.22381,47,47,45,25,24,22,47,47,45,26,24,22,94,70,46,94,71,46,116,94,116,95
H0,heterogeneous_condition,101,16,210,0,0,0,0.0,0.010645,0.007008,0.017653,0.008827,24.938154,0.415636,8.75,0.184263,0.22381,46,47,46,24,25,22,46,47,46,24,25,22,93,70,47,93,70,47,117,93,117,93
