stage,soft_utilization_threshold,risk_guard_level,regime,policy,completed_loads,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,guard_skip_per_completed_load,fallback_per_completed_load,route_violation_per_completed_load,shovel_violation_per_completed_load,crusher_violation_per_completed_load,risk_violation_per_completed_load,dominant_guard
S1,0.85,base,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.85,base,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.85,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,31414.333333,2850.0,0.0,15775.333333,10053.0,13969.666667,4.986402,0.452381,0.0,2.504021,1.595714,2.217407,shovel
S1,0.85,relaxed,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.85,relaxed,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.85,relaxed,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,31414.333333,2850.0,0.0,15775.333333,10053.0,13969.666667,4.986402,0.452381,0.0,2.504021,1.595714,2.217407,shovel
S1,0.85,strict,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.85,strict,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.85,strict,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,47625.0,4645.333333,0.0,20864.0,4331.0,27885.0,7.559524,0.737354,0.0,3.311746,0.68746,4.42619,risk
S1,0.9,base,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.9,base,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.9,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,28118.666667,2273.0,0.0,11856.0,6862.0,13976.333333,4.46328,0.360794,0.0,1.881905,1.089206,2.218466,risk
S1,0.9,relaxed,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.9,relaxed,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.9,relaxed,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,28118.666667,2273.0,0.0,11856.0,6862.0,13976.333333,4.46328,0.360794,0.0,1.881905,1.089206,2.218466,risk
S1,0.9,strict,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.9,strict,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.9,strict,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,45731.333333,4269.333333,0.0,17830.666667,810.0,27900.333333,7.258942,0.677672,0.0,2.830265,0.128571,4.428624,risk
S1,0.95,base,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.95,base,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.95,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,25010.333333,1685.0,0.0,9286.666667,5144.0,13988.0,3.969894,0.26746,0.0,1.474074,0.816508,2.220317,risk
S1,0.95,relaxed,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.95,relaxed,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.95,relaxed,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,25010.333333,1685.0,0.0,9286.666667,5144.0,13988.0,3.969894,0.26746,0.0,1.474074,0.816508,2.220317,risk
S1,0.95,strict,heterogeneous_condition,BALANCED_RR_H4_PM,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.95,strict,heterogeneous_condition,H4,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S1,0.95,strict,heterogeneous_condition,H4_BALANCED_RR_GUARD,6300.0,43706.0,3827.0,0.0,15786.666667,0.0,27919.333333,6.93746,0.60746,0.0,2.50582,0.0,4.43164,risk
S2,0.85,base,heterogeneous_condition,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,base,heterogeneous_condition,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,18900.0,93274.1,8561.0,0.0,46881.0,30019.2,41408.2,4.935138,0.452963,0.0,2.480476,1.588317,2.19091,shovel
S2,0.85,base,high_demand_high_stress,BALANCED_RR_H4_PM,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,base,high_demand_high_stress,H4,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,base,high_demand_high_stress,H4_BALANCED_RR_GUARD,21690.0,115064.1,13540.4,0.0,77121.2,63934.8,39967.7,5.304938,0.624269,0.0,3.555611,2.947663,1.842679,shovel
S2,0.85,base,high_stress,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,base,high_stress,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,base,high_stress,H4_BALANCED_RR_GUARD,18900.0,91272.4,8407.3,0.0,45897.2,29321.7,40515.6,4.829228,0.444831,0.0,2.428423,1.551413,2.143683,shovel
S2,0.85,relaxed,heterogeneous_condition,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,relaxed,heterogeneous_condition,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,relaxed,heterogeneous_condition,H4_BALANCED_RR_GUARD,18900.0,93274.1,8561.0,0.0,46881.0,30019.2,41408.2,4.935138,0.452963,0.0,2.480476,1.588317,2.19091,shovel
S2,0.85,relaxed,high_demand_high_stress,BALANCED_RR_H4_PM,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,relaxed,high_demand_high_stress,H4,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,relaxed,high_demand_high_stress,H4_BALANCED_RR_GUARD,21690.0,115064.1,13540.4,0.0,77121.2,63934.8,39967.7,5.304938,0.624269,0.0,3.555611,2.947663,1.842679,shovel
