stage,soft_utilization_threshold,risk_guard_level,regime,policy,total_tco_v4_soft_congestion,total_tco_v3_hard,effective_fulfillment_rate,effective_output,route_hhi,max_route_share,congestion_delay_hours_hard,congestion_delay_hours_soft,failure_count,cm_count,downtime_hours,pm_visits,rank_tco_v4_soft
S1,0.85,base,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.85,base,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.85,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,1287.956133,1287.90323,0.994868,1754946.666667,0.173467,0.22164,0.0,0.105806,0.0,0.0,577.0,173.333333,1
S1,0.85,relaxed,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.85,relaxed,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.85,relaxed,heterogeneous_condition,H4_BALANCED_RR_GUARD,1287.956133,1287.90323,0.994868,1754946.666667,0.173467,0.22164,0.0,0.105806,0.0,0.0,577.0,173.333333,1
S1,0.85,strict,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.85,strict,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.85,strict,heterogeneous_condition,H4_BALANCED_RR_GUARD,1351.477786,1351.403052,0.990939,1748016.666667,0.173891,0.224339,7.2e-05,0.149539,0.0,0.0,585.0,174.0,1
S1,0.9,base,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.9,base,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.9,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,1328.282687,1328.175864,0.990443,1747141.666667,0.17359,0.223333,8e-06,0.213654,0.0,0.0,570.0,171.666667,1
S1,0.9,relaxed,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.9,relaxed,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.9,relaxed,heterogeneous_condition,H4_BALANCED_RR_GUARD,1328.282687,1328.175864,0.990443,1747141.666667,0.17359,0.223333,8e-06,0.213654,0.0,0.0,570.0,171.666667,1
S1,0.9,strict,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.9,strict,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.9,strict,heterogeneous_condition,H4_BALANCED_RR_GUARD,1370.216147,1370.097651,0.988214,1743210.0,0.176396,0.229577,2.5e-05,0.237016,0.0,0.0,577.666667,172.666667,1
S1,0.95,base,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.95,base,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.95,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,1388.673458,1388.343187,0.983254,1734460.0,0.178908,0.23254,0.000883,0.661423,0.0,0.0,555.0,168.0,1
S1,0.95,relaxed,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.95,relaxed,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.95,relaxed,heterogeneous_condition,H4_BALANCED_RR_GUARD,1388.673458,1388.343187,0.983254,1734460.0,0.178908,0.23254,0.000883,0.661423,0.0,0.0,555.0,168.0,1
S1,0.95,strict,heterogeneous_condition,BALANCED_RR_H4_PM,1541.542857,1540.697149,0.999656,1763393.333333,0.166706,0.169524,0.039704,1.731118,0.0,0.0,734.333333,213.333333,2
S1,0.95,strict,heterogeneous_condition,H4,1609.582537,1609.524117,0.992857,1751400.0,0.174694,0.214286,0.0,0.11684,0.0,0.0,725.666667,211.333333,3
S1,0.95,strict,heterogeneous_condition,H4_BALANCED_RR_GUARD,1417.06534,1416.850146,0.982864,1733771.666667,0.178634,0.23455,0.001119,0.431507,0.0,0.0,568.333333,171.0,1
S2,0.85,base,heterogeneous_condition,BALANCED_RR_H4_PM,5570.925434,5568.457803,1.000195,5293032.5,0.166681,0.168942,0.100146,5.035408,0.0,0.0,2691.7,766.5,2
S2,0.85,base,heterogeneous_condition,H4,5774.972139,5774.796879,0.992857,5254200.0,0.174694,0.214286,0.0,0.35052,0.0,0.0,2659.5,757.9,3
S2,0.85,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,5345.746907,5345.577508,0.994814,5264553.0,0.173428,0.222132,0.0,0.3388,0.0,0.0,2484.4,713.1,1
S2,0.85,base,high_demand_high_stress,BALANCED_RR_H4_PM,8905.033721,8893.509274,0.999999,6073193.0,0.166674,0.168161,1.218585,24.267478,20.4,20.4,4242.3,771.0,1
S2,0.85,base,high_demand_high_stress,H4,9069.153105,9065.491786,0.993804,6035568.0,0.17349,0.228055,0.023417,7.346056,17.6,17.6,4201.7,787.2,3
S2,0.85,base,high_demand_high_stress,H4_BALANCED_RR_GUARD,8906.69713,8901.551592,0.989948,6012153.0,0.172156,0.223273,0.181539,10.472615,13.6,13.6,4051.1,819.5,2
S2,0.85,base,high_stress,BALANCED_RR_H4_PM,7767.351711,7764.861938,0.999753,5290691.0,0.166681,0.168572,0.1056,5.085145,0.4,0.4,3736.7,863.5,2
S2,0.85,base,high_stress,H4,7964.345458,7964.170124,0.992854,5254182.5,0.174692,0.214281,0.0,0.350668,0.4,0.4,3709.3,867.5,3
S2,0.85,base,high_stress,H4_BALANCED_RR_GUARD,7509.623483,7509.450305,0.99493,5265169.0,0.173267,0.221756,0.0,0.346356,0.0,0.0,3529.9,864.5,1
