regime,policy,completed_loads,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,guard_skip_per_completed_load,fallback_per_completed_load,route_violation_per_completed_load,shovel_violation_per_completed_load,crusher_violation_per_completed_load,risk_violation_per_completed_load,dominant_guard
heterogeneous_condition,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
heterogeneous_condition,H0,18898.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
heterogeneous_condition,H1,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
heterogeneous_condition,H2,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
heterogeneous_condition,H3,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
heterogeneous_condition,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
heterogeneous_condition,H5,18900.0,83678.2,6813.0,0.0,35408.8,20505.6,41428.9,4.427418,0.360476,0.0,1.873481,1.084952,2.192005,risk
heterogeneous_condition,H5_AGGRESSIVE,18900.0,141400.0,13791.1,0.0,62028.2,12145.8,82785.5,7.481481,0.729688,0.0,3.281915,0.642635,4.380185,risk
heterogeneous_condition,H_TIME,18899.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_demand_high_stress,BALANCED_RR_H4_PM,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_demand_high_stress,H0,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_demand_high_stress,H1,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_demand_high_stress,H2,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_demand_high_stress,H3,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_demand_high_stress,H4,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_demand_high_stress,H5,21690.0,108091.9,12270.0,0.0,68177.6,54870.9,39931.1,4.98349,0.565698,0.0,3.143273,2.529779,1.840991,shovel
high_demand_high_stress,H5_AGGRESSIVE,21690.0,156255.0,18286.6,0.0,87109.0,55453.8,79857.6,7.204011,0.843089,0.0,4.01609,2.556653,3.68177,shovel
high_demand_high_stress,H_TIME,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_stress,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_stress,H0,18898.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_stress,H1,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_stress,H2,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_stress,H3,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_stress,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
high_stress,H5,18900.0,81992.4,6673.0,0.0,34750.4,20066.4,40545.0,4.338222,0.353069,0.0,1.838646,1.061714,2.145238,risk
high_stress,H5_AGGRESSIVE,18900.0,138406.9,13496.2,0.0,60722.2,11817.0,81039.2,7.323116,0.714085,0.0,3.212815,0.625238,4.287788,risk
high_stress,H_TIME,18899.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
