regime,policy,total_tco_v2,total_tco_v3_hard,total_tco_v4_soft_congestion,effective_fulfillment_rate,effective_output,route_hhi,max_route_share,congestion_delay_hours_hard,congestion_delay_hours_soft,failure_count,cm_count,downtime_hours,pm_visits,avg_realized_cycle_time,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,guard_skip_per_completed_load,fallback_per_completed_load,route_violation_per_completed_load,shovel_violation_per_completed_load,crusher_violation_per_completed_load,risk_violation_per_completed_load,dominant_guard,rank_tco_v4_soft
heterogeneous_condition,BALANCED_RR_H4_PM,5568.40773,5568.457803,5570.925434,1.000195,5293032.5,0.166681,0.168942,0.100146,5.035408,0.0,0.0,2691.7,766.5,23.490311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3
heterogeneous_condition,H0,9769.842046,9770.598976,9783.598092,1.026827,5433967.0,0.183359,0.219924,1.513859,27.512091,45.2,45.2,4805.9,394.0,24.9055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,9
heterogeneous_condition,H1,7412.67762,7669.154659,9136.486088,0.912015,4826381.0,0.298041,0.390476,512.954079,3447.616936,0.0,0.0,1977.4,567.7,19.791787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6
heterogeneous_condition,H2,7380.794418,7668.357166,9299.96556,0.912467,4828775.0,0.336667,0.388228,575.125497,3838.342285,0.0,0.0,1970.7,564.1,19.590243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,8
heterogeneous_condition,H3,6053.910032,6341.472781,7973.081175,0.980952,5191200.0,0.275283,0.314286,575.125497,3838.342285,0.0,0.0,2583.1,736.6,22.585722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,5
heterogeneous_condition,H4,5774.796879,5774.796879,5774.972139,0.992857,5254200.0,0.174694,0.214286,0.0,0.35052,0.0,0.0,2659.5,757.9,23.43127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,4
heterogeneous_condition,H5,5454.166918,5454.16693,5454.485034,0.990347,5240914.0,0.173738,0.224048,2.2e-05,0.636231,0.0,0.0,2455.5,705.0,23.13566,83678.2,6813.0,0.0,35408.8,20505.6,41428.9,4.427418,0.360476,0.0,1.873481,1.084952,2.192005,risk,1
heterogeneous_condition,H5_AGGRESSIVE,5478.398124,5478.398135,5478.62247,0.990915,5243924.0,0.174051,0.226074,2.2e-05,0.44869,0.0,0.0,2477.4,710.8,23.308626,141400.0,13791.1,0.0,62028.2,12145.8,82785.5,7.481481,0.729688,0.0,3.281915,0.642635,4.380185,risk,2
heterogeneous_condition,H_TIME,9262.936386,9263.690953,9276.675252,1.026769,5433662.5,0.183525,0.220168,1.509133,27.477731,29.8,29.8,4570.6,388.0,24.896275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,7
high_demand_high_stress,BALANCED_RR_H4_PM,8892.899981,8893.509274,8905.033721,0.999999,6073193.0,0.166674,0.168161,1.218585,24.267478,20.4,20.4,4242.3,771.0,23.480629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3
