policy_id,period,pm_actions
H0,Day 1-30,86
H0,Day 121-150,93
H0,Day 151-180,114
H0,Day 181-210,93
H0,Day 211-240,112
H0,Day 241-270,94
H0,Day 271-300,115
H0,Day 301-330,93
H0,Day 31-60,116
H0,Day 331-360,113
H0,Day 361-365,9
H0,Day 61-90,95
H0,Day 91-120,117
H1,Day 1-30,22
H1,Day 121-150,43
H1,Day 151-180,38
H1,Day 181-210,37
H1,Day 211-240,32
H1,Day 241-270,41
H1,Day 271-300,47
H1,Day 301-330,37
H1,Day 31-60,49
H1,Day 331-360,51
H1,Day 361-365,2
H1,Day 61-90,49
H1,Day 91-120,34
H2,Day 1-30,69
H2,Day 121-150,66
H2,Day 151-180,96
H2,Day 181-210,82
H2,Day 211-240,64
H2,Day 241-270,94
H2,Day 271-300,87
H2,Day 301-330,65
H2,Day 31-60,75
H2,Day 331-360,88
H2,Day 361-365,7
H2,Day 61-90,96
H2,Day 91-120,78
H3,Day 1-30,120
H3,Day 121-150,122
H3,Day 151-180,122
H3,Day 181-210,130
H3,Day 211-240,124
H3,Day 241-270,119
H3,Day 271-300,120
H3,Day 301-330,121
H3,Day 31-60,117
H3,Day 331-360,123
H3,Day 361-365,19
H3,Day 61-90,124
H3,Day 91-120,127
H4,Day 1-30,22
H4,Day 121-150,43
H4,Day 151-180,38
H4,Day 181-210,37
H4,Day 211-240,32
H4,Day 241-270,41
H4,Day 271-300,47
H4,Day 301-330,37
H4,Day 31-60,49
H4,Day 331-360,51
H4,Day 361-365,2
H4,Day 61-90,49
H4,Day 91-120,34
