policy_id,kpi,mean,std,min,max,cv
H0,total_cost,1020.0,28.284271,1000.0,1040.0,0.02773
H0,pm_cost,205.0,7.071068,200.0,210.0,0.034493
H0,unmet_demand,105.0,7.071068,100.0,110.0,0.067344
H0,demand_fulfillment_rate,0.895,0.007071,0.89,0.9,0.007901
H0,completed_loads,895.0,7.071068,890.0,900.0,0.007901
H0,average_available_trucks,7.0,0.0,7.0,7.0,0.0
H0,total_downtime,122.0,2.828427,120.0,124.0,0.023184
H0,pm_count,20.5,0.707107,20.0,21.0,0.034493
H0,average_tire_hi,0.795,0.007071,0.79,0.8,0.008894
H0,average_truck_hi,0.815,0.007071,0.81,0.82,0.008676
H0,queue_time,2.55,0.070711,2.5,2.6,0.02773
H1,total_cost,960.0,14.142136,950.0,970.0,0.014731
H1,pm_cost,242.5,3.535534,240.0,245.0,0.01458
H1,unmet_demand,85.0,7.071068,80.0,90.0,0.083189
H1,demand_fulfillment_rate,0.915,0.007071,0.91,0.92,0.007728
H1,completed_loads,915.0,7.071068,910.0,920.0,0.007728
H1,average_available_trucks,6.75,0.070711,6.7,6.8,0.010476
H1,total_downtime,131.0,1.414214,130.0,132.0,0.010796
H1,pm_count,24.5,0.707107,24.0,25.0,0.028862
H1,average_tire_hi,0.815,0.007071,0.81,0.82,0.008676
H1,average_truck_hi,0.825,0.007071,0.82,0.83,0.008571
H1,queue_time,2.425,0.035355,2.4,2.45,0.01458
H2,total_cost,1090.0,14.142136,1080.0,1100.0,0.012974
H2,pm_cost,162.5,3.535534,160.0,165.0,0.021757
H2,unmet_demand,155.0,7.071068,150.0,160.0,0.04562
H2,demand_fulfillment_rate,0.845,0.007071,0.84,0.85,0.008368
H2,completed_loads,845.0,7.071068,840.0,850.0,0.008368
H2,average_available_trucks,7.15,0.070711,7.1,7.2,0.00989
H2,total_downtime,101.0,1.414214,100.0,102.0,0.014002
H2,pm_count,16.5,0.707107,16.0,17.0,0.042855
H2,average_tire_hi,0.775,0.007071,0.77,0.78,0.009124
H2,average_truck_hi,0.795,0.007071,0.79,0.8,0.008894
H2,queue_time,2.225,0.035355,2.2,2.25,0.01589
H3,total_cost,910.0,14.142136,900.0,920.0,0.015541
H3,pm_cost,255.0,7.071068,250.0,260.0,0.02773
H3,unmet_demand,52.5,3.535534,50.0,55.0,0.067344
H3,demand_fulfillment_rate,0.9475,0.003536,0.945,0.95,0.003731
H3,completed_loads,947.5,3.535534,945.0,950.0,0.003731
H3,average_available_trucks,6.55,0.070711,6.5,6.6,0.010796
H3,total_downtime,143.5,2.12132,142.0,145.0,0.014783
H3,pm_count,27.5,0.707107,27.0,28.0,0.025713
H3,average_tire_hi,0.8375,0.003536,0.835,0.84,0.004222
H3,average_truck_hi,0.8475,0.003536,0.845,0.85,0.004172
H3,queue_time,2.675,0.035355,2.65,2.7,0.013217
H4,total_cost,985.0,7.071068,980.0,990.0,0.007179
H4,pm_cost,192.5,3.535534,190.0,195.0,0.018366
H4,unmet_demand,97.5,3.535534,95.0,100.0,0.036262
H4,demand_fulfillment_rate,0.9025,0.003536,0.9,0.905,0.003917
H4,completed_loads,902.5,3.535534,900.0,905.0,0.003917
H4,average_available_trucks,7.0,0.0,7.0,7.0,0.0
H4,total_downtime,111.0,1.414214,110.0,112.0,0.012741
H4,pm_count,19.5,0.707107,19.0,20.0,0.036262
H4,average_tire_hi,0.8025,0.003536,0.8,0.805,0.004406
H4,average_truck_hi,0.8125,0.003536,0.81,0.815,0.004351
H4,queue_time,2.325,0.035355,2.3,2.35,0.015207
